Representation,Embedding_Model,Clustering_Algorithm,K_or_Params,ARI,NMI,Silhouette,Noise_Fraction
triples,allenai-scibert_scivocab_uncased,gmm,3,0.3822413327371959,0.3382569788646073,0.0762291997671127,
triples,allenai-scibert_scivocab_uncased,gmm,4,0.3822262212496765,0.3356599260632669,0.0955724269151687,
triples,allenai-scibert_scivocab_uncased,gmm,5,0.3509316150452692,0.3085731305074968,0.0917650535702705,
triples,allenai-scibert_scivocab_uncased,gmm,6,0.3040043251949754,0.3068689736192209,0.0723486095666885,
triples,allenai-scibert_scivocab_uncased,gmm,7,0.2896361632438836,0.3265543032342862,0.0696271210908889,
triples,allenai-scibert_scivocab_uncased,gmm,8,0.2887624847846683,0.3385570625398867,0.0653639212250709,
triples,allenai-scibert_scivocab_uncased,gmm,9,0.1985728981226464,0.2793032509220929,0.050607893615961,
triples,allenai-scibert_scivocab_uncased,gmm,10,0.2613030274861795,0.3386507024637058,0.0611500181257724,
triples,allenai-scibert_scivocab_uncased,gmm,11,0.235861935666973,0.3285338948369086,0.0550255253911018,
triples,allenai-scibert_scivocab_uncased,gmm,12,0.2212016513030956,0.3220882771130044,0.0569750107824802,
triples,allenai-scibert_scivocab_uncased,hdbscan,5,0.003393788994574,0.0107945955550414,0.363525241613388,0.0004
triples,allenai-scibert_scivocab_uncased,hdbscan,10,0.0028826415116651,0.0086480338562664,0.3630620837211609,0.0024
triples,allenai-scibert_scivocab_uncased,hdbscan,20,0.0034102259929943,0.0085499006481744,0.3647105693817138,0.0
triples,allenai-scibert_scivocab_uncased,hdbscan,30,0.0034102259929943,0.0085499006481744,0.3647105693817138,0.0
triples,allenai-scibert_scivocab_uncased,hdbscan,50,0.0034102259929943,0.0085499006481744,0.3647105693817138,0.0
triples,allenai-scibert_scivocab_uncased,hdbscan,100,0.0,0.0,0.0,1.0
triples,allenai-specter,kmeans,3,0.2582350145053913,0.2466262587613861,0.0480857267975807,
triples,allenai-specter,kmeans,4,0.2628485482459172,0.2513985427632308,0.059621874243021,
triples,allenai-specter,kmeans,5,0.2253979829366175,0.3012794114292625,0.0487193912267684,
triples,allenai-specter,kmeans,6,0.2392145024023655,0.307658016339287,0.0351840741932392,
triples,allenai-specter,kmeans,7,0.2336125400018313,0.3153617795962418,0.0490113049745559,
triples,allenai-specter,kmeans,8,0.2104294528553451,0.3107577960060591,0.0474171601235866,
triples,allenai-specter,kmeans,9,0.2434622789249207,0.3235650927497781,0.0408290028572082,
triples,allenai-specter,kmeans,10,0.2015349914728381,0.3195783973433558,0.0399941280484199,
triples,allenai-specter,kmeans,11,0.1905763553328349,0.3115192597796803,0.0406494736671447,
triples,allenai-specter,kmeans,12,0.1900937912585156,0.3184296840083239,0.0424296185374259,
triples,allenai-specter,gmm,3,0.2669058965660068,0.2505784188532137,0.0477506294846534,
triples,allenai-specter,gmm,4,0.2135040610220727,0.2613267378608589,0.0457350015640258,
triples,allenai-specter,gmm,5,0.2055224311638066,0.2708706362420229,0.0393614545464515,
triples,allenai-specter,gmm,6,0.2158888601787873,0.2817315580340789,0.0272086337208747,
triples,allenai-specter,gmm,7,0.2271584948014348,0.3162981184921803,0.0375821106135845,
triples,allenai-specter,gmm,8,0.2121173342109595,0.3131679857605043,0.0471964888274669,
triples,allenai-specter,gmm,9,0.2296603435415401,0.3140734774429685,0.0404101088643074,
triples,allenai-specter,gmm,10,0.2015349914728381,0.3195783973433558,0.0399941280484199,
triples,allenai-specter,gmm,11,0.1905763553328349,0.3115192597796803,0.0406494736671447,
triples,allenai-specter,gmm,12,0.1726140392183414,0.3199420512907682,0.0411421321332454,
triples,allenai-specter,hdbscan,5,0.0016901134808419,0.010725775254384,0.2049989849328994,0.2142
triples,allenai-specter,hdbscan,10,0.0010776554921723,0.0109781647278715,0.2152804583311081,0.271
triples,allenai-specter,hdbscan,20,5.086721587707359e-05,0.0112624983532343,0.227801114320755,0.3388
triples,allenai-specter,hdbscan,30,-0.000488806667379,0.0095238346229728,0.2364284694194793,0.383
triples,allenai-specter,hdbscan,50,-0.0014910226134001,0.0096226196082115,0.2481819242238998,0.4374
triples,allenai-specter,hdbscan,100,0.0,0.0,0.0,1.0
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,3,0.3666802413821381,0.31475605134764,0.0410512685775756,
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,4,0.2578728103847777,0.2797511321478419,0.0379833318293094,
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,5,0.2253636353414265,0.291080652501,0.0373132079839706,
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,6,0.2255660692281864,0.2928755711769938,0.0481725335121154,
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,7,0.2553295647945701,0.3215653193178235,0.0352031216025352,
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,8,0.2584189052793497,0.3252569847085274,0.0471401289105415,
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,9,0.2156523533751643,0.3227943934172653,0.0441924557089805,
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,10,0.2100716158122706,0.3264697754560683,0.0447811335325241,
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,11,0.20245403130286,0.3227948231374777,0.0449930280447006,
triples,sentence-transformers-all-MiniLM-L6-v2,kmeans,12,0.2030349465610178,0.3262940915900572,0.0441537760198116,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,3,0.3743939140406396,0.3200326741274344,0.0409690886735916,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,4,0.259452027930397,0.2975576996389388,0.0366698130965232,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,5,0.2276801031871878,0.2945526427626309,0.036900658160448,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,6,0.2258430307493457,0.2925354327656594,0.0481419414281845,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,7,0.2535036486031641,0.3215345797843701,0.0354449339210987,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,8,0.2202931276873135,0.3119318402975536,0.0351647138595581,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,9,0.2433362111456115,0.3228170891337154,0.0357071347534656,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,10,0.2512583426158507,0.3278050534863919,0.0458888672292232,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,11,0.2006465325435592,0.3237682737829939,0.0330525636672973,
triples,sentence-transformers-all-MiniLM-L6-v2,gmm,12,0.2003715977254713,0.3314113413953813,0.043476153165102,
triples,sentence-transformers-all-MiniLM-L6-v2,hdbscan,5,0.0035588416186936,0.0093340672556067,0.0356069877743721,0.0138
triples,sentence-transformers-all-MiniLM-L6-v2,hdbscan,10,0.0037923358742,0.0089351748076657,0.0372827313840389,0.0366
triples,sentence-transformers-all-MiniLM-L6-v2,hdbscan,20,0.0041777302752097,0.0094652869251007,0.0402423590421676,0.089
triples,sentence-transformers-all-MiniLM-L6-v2,hdbscan,30,0.0044268573268697,0.009938093990074,0.0435090102255344,0.1442
triples,sentence-transformers-all-MiniLM-L6-v2,hdbscan,50,0.0055391090166195,0.0117705323364865,0.0505198240280151,0.2564
triples,sentence-transformers-all-MiniLM-L6-v2,hdbscan,100,0.0,0.0,0.0,1.0
triples,sentence-transformers-all-mpnet-base-v2,kmeans,3,0.3821178835641862,0.3337807310013596,0.0511448867619037,
triples,sentence-transformers-all-mpnet-base-v2,kmeans,4,0.2660664115187436,0.3166806041067023,0.0459486469626426,
triples,sentence-transformers-all-mpnet-base-v2,kmeans,5,0.3126905768051563,0.3493417767941682,0.0468400344252586,
triples,sentence-transformers-all-mpnet-base-v2,kmeans,6,0.2510841489481796,0.311880525781702,0.0579189024865627,
triples,sentence-transformers-all-mpnet-base-v2,kmeans,7,0.3187603460750885,0.351650026669481,0.0574213005602359,
triples,sentence-transformers-all-mpnet-base-v2,kmeans,8,0.2856641308704229,0.3445405847027524,0.057667039334774,
triples,sentence-transformers-all-mpnet-base-v2,kmeans,9,0.2410274170841263,0.3424934080890105,0.0534963607788085,
triples,sentence-transformers-all-mpnet-base-v2,kmeans,10,0.246150740888522,0.3508068564303818,0.0519105792045593,
triples,sentence-transformers-all-mpnet-base-v2,kmeans,11,0.2241818558218405,0.3465825741887811,0.0497467406094074,
triples,sentence-transformers-all-mpnet-base-v2,kmeans,12,0.2129298340925614,0.3401646627988413,0.0511641539633274,
triples,sentence-transformers-all-mpnet-base-v2,gmm,3,0.3821178835641862,0.3337807310013596,0.0511448867619037,
triples,sentence-transformers-all-mpnet-base-v2,gmm,4,0.4255208021023158,0.3577685007150797,0.0489861443638801,
triples,sentence-transformers-all-mpnet-base-v2,gmm,5,0.31515892919805,0.3522788544427576,0.0469880737364292,
