representation,model_alias,label,support,baseline_f1,phase7_f1,delta_f1_vs_hybrid
concatenate,scibert,cs,727,0.908968307484828,0.9081081081081082,-0.0008601993767198834
concatenate,scibert,astro-ph,146,0.9370629370629371,0.9337979094076655,-0.0032650276552715907
concatenate,scibert,math,374,0.8870967741935484,0.8832214765100671,-0.0038752976834812713
concatenate,scibert,eess,94,0.6268656716417911,0.62,-0.006865671641791082
concatenate,scibert,math-ph,17,0.17391304347826086,0.16666666666666666,-0.007246376811594207
concatenate,scibert,quant-ph,79,0.8481012658227848,0.8354430379746836,-0.012658227848101222
concatenate,scibert,q-fin,12,0.782608695652174,0.75,-0.03260869565217395
concatenate,scibert,hep-th,36,0.5833333333333334,0.5428571428571428,-0.040476190476190554
concatenate,scibert,econ,13,0.3333333333333333,0.23529411764705882,-0.0980392156862745
quality_hybrid_banded,scibert,hep-ex,11,0.42857142857142855,0.5,0.07142857142857145
quality_hybrid_banded,scibert,hep-ph,58,0.7796610169491526,0.8103448275862069,0.030683810637054276
quality_hybrid_banded,scibert,gr-qc,40,0.6947368421052632,0.7021276595744681,0.007390817469204891
quality_hybrid_banded,scibert,physics,126,0.6615384615384615,0.6666666666666666,0.00512820512820511
quality_hybrid_banded,scibert,alg-geom,0,0.0,0.0,0.0
quality_hybrid_banded,scibert,cond-mat,158,0.8421052631578947,0.8421052631578947,0.0
quality_hybrid_banded,scibert,hep-lat,2,0.0,0.0,0.0
quality_hybrid_banded,scibert,nucl-ex,8,0.0,0.0,0.0
quality_hybrid_banded,scibert,q-bio,15,0.5,0.5,0.0
quality_hybrid_banded,scibert,q-fin,12,0.782608695652174,0.782608695652174,0.0
quality_hybrid_banded,scibert,cs,727,0.908968307484828,0.9066305818673883,-0.002337725617439723
quality_hybrid_banded,scibert,math,374,0.8870967741935484,0.8847184986595175,-0.002378275534030916
quality_hybrid_banded,scibert,hep-th,36,0.5833333333333334,0.5797101449275363,-0.0036231884057971175
quality_hybrid_banded,scibert,stat,60,0.4954128440366973,0.4909090909090909,-0.004503753127606369
quality_hybrid_banded,scibert,quant-ph,79,0.8481012658227848,0.8427672955974843,-0.005333970225300466
